ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-30,0.9,22,2.5,0.0009,0.02048,1.6011102844483835,2.5,2.7777777777777777
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-05-09,0.9,13,2.536,0.0003,0.019008571,1.6366091096253013,2.536,2.8177777777777777
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-05-14,0.9,8,2.531,0.0001,0.018418571,1.6313632519097947,2.531,2.812222222222222
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-05-17,0.9,5,2.561,0.0001,0.017783333,1.6612192198683684,2.561,2.8455555555555554
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-03-29,0.95,54,2.449,0.0015,0.021464,1.5020119363691355,2.449,2.5778947368421052
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-03,0.95,49,2.463,0.0007,0.021115667,1.5156891573957645,2.463,2.5926315789473686
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-09,0.95,43,2.437,0.0004,0.020651667,1.4893084799758713,2.437,2.5652631578947367
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-12,0.95,40,2.408,0.0002,0.020358333,1.4601171350866862,2.408,2.5347368421052634
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-19,0.95,33,2.464,0.0003,0.019913,1.5157087970725374,2.464,2.593684210526316
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-24,0.95,28,2.457,0.0001,0.01959,1.5084265825957845,2.457,2.586315789473684
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-29,0.95,23,2.511,0.0009,0.020236875,1.562210668239007,2.511,2.6431578947368424
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-04-30,0.95,22,2.5,0.0005,0.02048,1.5511719669177382,2.5,2.6315789473684212
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-05-09,0.95,13,2.536,0.0001,0.019008571,1.586642949048929,2.536,2.6694736842105264
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-05-14,0.95,8,2.531,0.0001,0.018418571,1.58138343257145,2.531,2.66421052631579
10007115.SH,易方达上证科创板50ETF期权2405认购0.95,C,2024-05-17,0.95,5,2.561,0.0001,0.017783333,1.6112313987499445,2.561,2.6957894736842105
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-03-29,1.0,54,2.449,0.0007,0.021464,1.4521704593359321,2.449,2.449
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-03,1.0,49,2.463,0.0003,0.021115667,1.4658306919955417,2.463,2.463
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-09,1.0,43,2.437,0.0003,0.020651667,1.4394299789219698,2.437,2.437
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-12,1.0,40,2.408,0.0002,0.020358333,1.4102285632491434,2.408,2.408
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-19,1.0,33,2.464,0.0002,0.019913,1.4657987337605656,2.464,2.464
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-24,1.0,28,2.457,0.0002,0.01959,1.4585016658902994,2.457,2.457
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-29,1.0,23,2.511,0.0003,0.020236875,1.5122743876200073,2.511,2.511
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-04-30,1.0,22,2.5,0.0002,0.02048,1.5012336493870928,2.5,2.5
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-05-09,1.0,13,2.536,0.0001,0.019008571,1.536676788472557,2.536,2.536
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-05-14,1.0,8,2.531,0.0001,0.018418571,1.5314036132331053,2.531,2.531
10007125.SH,易方达上证科创板50ETF期权2405认购1.00,C,2024-05-17,1.0,5,2.561,0.0001,0.017783333,1.5612435776315206,2.561,2.561
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-04-09,2.7,43,2.437,0.255,0.020651667,0.25643905691068136,2.693439056910681,0.9025925925925925
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-04-19,2.7,33,2.464,0.2309,0.019913,0.23114341884647294,2.695143418846473,0.9125925925925925
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-04-24,2.7,28,2.457,0.2351,0.01959,0.23894550209619148,2.6959455020961913,0.9099999999999999
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-04-29,2.7,23,2.511,0.1854,0.020236875,0.18555915342598084,2.696559153425981,0.9299999999999999
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-04-30,2.7,22,2.5,0.1959,0.02048,0.19666914665484958,2.6966691466548496,0.9259259259259258
10007128.SH,华夏上证50ETF期权2405认沽2.70,P,2024-05-17,2.7,5,2.561,0.1382,0.017783333,0.13834234039489468,2.6993423403948946,0.9485185185185184
10007133.SH,华夏上证科创板50ETF期权2404认购0.55,C,2024-04-12,0.55,12,2.408,0.224,0.018614286,1.8583364841186225,2.408,4.378181818181818
10007133.SH,华夏上证科创板50ETF期权2404认购0.55,C,2024-04-19,0.55,5,2.464,0.2115,0.018456667,1.9141390395026443,2.464,4.4799999999999995
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-04-12,0.55,40,2.408,0.216,0.020358333,1.8592257097870286,2.408,4.378181818181818
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-04-19,0.55,33,2.464,0.2105,0.019913,1.9149893035683112,2.464,4.4799999999999995
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-04-24,0.55,28,2.457,0.2113,0.01959,1.9078259162396645,2.457,4.467272727272727
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-04-29,0.55,23,2.511,0.2598,0.020236875,1.961700913191004,2.511,4.565454545454545
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-04-30,0.55,22,2.5,0.2598,0.02048,1.950678507162901,2.5,4.545454545454545
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-05-09,0.55,13,2.536,0.2659,0.019008571,1.9863722336599063,2.536,4.61090909090909
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-05-14,0.55,8,2.531,0.2472,0.018418571,1.9812219872782078,2.531,4.601818181818182
10007135.SH,华夏上证科创板50ETF期权2405认购0.55,C,2024-05-17,0.55,5,2.561,0.2353,0.017783333,2.011133967697336,2.561,4.656363636363636
10007137.SH,华夏上证50ETF期权2405认购2.20,C,2024-05-14,2.2,8,2.531,0.3304,0.018418571,0.33188794911283104,2.531,1.1504545454545454
10007137.SH,华夏上证50ETF期权2405认购2.20,C,2024-05-17,2.2,5,2.561,0.3585,0.017783333,0.361535870789345,2.561,1.164090909090909
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-04-29,2.205,240,2.511,0.3312,0.02037,0.3353368028420527,2.511,1.1387755102040817
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-05-09,2.205,230,2.536,0.3488,0.02036,0.3591085477270082,2.536,1.1501133786848072
